Name,ID,"Public ID",Status,Power,"Last Heard",Location,Notes
"East of Ellum",AA,AA61915DDFCDAA184B7FD95B93F8BA340250330F3DADA4C12B945EB357E3FCF2,Active,,"Feb 25, 16:29:50","32.784, -96.7737",
"R_SenseCap_Solar Repeat",1C,1C0869A0C5BDFAF1B18D65582B0ACD739D3159B6B92E14105FB2CBAC2533791B,Active,,"Feb 25, 12:22:41","32.9274, -97.2009",
FOC,FC,FC2C29F0C915AAE07B7EA58D2F8680F39A4CC4A3B7AD9246EEC3F3D2163F0D60,Active,,"Feb 24, 20:01:13","32.7639, -96.8512",
NeuralMeshTX_Repeater,A6,A6BF3695EB48A4DD7B4F50C9246FD75937E69E3B72EF11735CD9E6B3477BE47D,Active,,"Feb 24, 11:32:19","32.8937, -97.0858",
"Casafuerte Repeater",D7,D7AD832F66EAD0963DC82C5FBA0B830A2C2BB61F018BDCDB9953B0167575B64B,Active,,"Feb 23, 13:36:59","32.8151, -97.4023",
"LW Repeater 3",D2,D253DCAD21C60995C26BFCD780E65AC7F16C734DC3C4AD8989A31626602192BB,Active,,"Feb 23, 12:18:03","32.8236, -97.4955",
"Sachse Repeater 01",BD,BDF5DBF3AC419C2D422609A0759CBC21B5F639D2F3582F5B7B0BA07385B03A05,Active,,"Feb 23, 08:44:58","32.9788, -96.5856",
"Umbra Repeater",19,199D83C44C832ED16C1CC32F3D95A4BCD8683D5952CC73F3174D63D0CB45A5DB,Active,,"Feb 22, 11:58:02","33.1965, -96.6288",
"Lachryma Repeater",72,72D770C356C67F0DE28862ACD0EE370B0E3662C237083A9BF53EE92A155FC5E5,Active,,"Feb 22, 11:56:46","33.2035, -96.631",
"Codestoat Repeater",37,3709011207E52031E4EC84AD59855A7ED065616A23FEE6E795D52A46CC6376F0,Active,,"Feb 22, 11:55:47","33.1442, -96.6422",
Chupacabra,77,778DFE071525377562BBC64883EFE4288CA14C9A4E7255A07C3F372097298CFF,Active,,"Feb 22, 11:54:05","32.9632, -96.5962",
"Cityline Richardson Rep",52,5290D947F77ECE10DA55862D78D2F677DFD32F3284FC095B179F040204D2006B,Active,,"Feb 22, 11:53:16","32.9959, -96.696",
"NodeRunner Solar 📡",8B,8BB19420286C8DD72EF3DB557A3F75F96E852238BE317FD92EA1C6A3FE4987D4,Active,,"Feb 22, 11:47:56","32.8993, -97.1003",
"Frisco Trails Repeater",F7,F7F7F7C190B60B00F6958EFC70E8B7E4FBB15B37A50905620C7CF5BDDC0BEF88,Active,,"Feb 20, 09:40:55","33.1738, -96.8759",
